Reward,Won Hand,Trials
0,0,1
-10,-1,2
-20,-1,2
-10,1,4
0,1,5
10,1,6
0,-1,6
-10,-1,7
-20,-1,8
-30,-1,9
-40,-1,11
-50,-1,11
-60,-1,13
-70,-1,14
-80,-1,14
-90,-1,15
-80,1,17
-90,-1,17
-100,-1,19
-110,-1,19
-120,-1,20
-130,-1,22
-140,-1,23
-140,0,24
-140,0,25
-150,-1,26
-160,-1,26
-170,-1,27
-160,1,29
-170,-1,29
-160,1,31
-170,-1,31
-160,1,33
-150,1,34
-160,-1,34
-170,-1,35
-180,-1,37
-190,-1,38
-200,-1,38
-210,-1,39
-200,1,41
-210,-1,41
-220,-1,42
-230,-1,43
-240,-1,45
-250,-1,46
-240,1,47
-250,-1,47
-260,-1,49
-260,0,50
-270,-1,50
-260,1,52
-270,-1,52
-280,-1,54
-290,-1,54
-280,1,56
-270,1,57
-260,1,58
-270,-1,59
-280,-1,60
-290,-1,61
-280,1,62
-270,1,63
-280,-1,63
-290,-1,65
-280,1,66
-270,1,67
-280,-1,68
-270,1,69
-280,-1,70
-270,1,71
-260,1,72
-270,-1,73
-270,0,74
-270,0,75
-280,-1,75
-290,-1,76
-280,1,78
-290,-1,78
-290,0,80
-300,-1,81
-290,1,82
-300,-1,82
-290,1,84
-300,-1,85
-290,1,86
-300,-1,87
-290,1,88
-300,-1,88
-310,-1,90
-320,-1,90
-330,-1,92
-340,-1,93
-350,-1,93
-360,-1,95
-370,-1,96
-360,1,97
-350,1,98
-360,-1,99
-370,-1,100
-360,1,101
-370,-1,101
-360,1,103
-350,1,104
-360,-1,104
-350,1,106
-360,-1,106
-370,-1,108
-380,-1,108
-390,-1,109
-400,-1,111
-410,-1,112
-400,1,113
-410,-1,114
-420,-1,115
-430,-1,115
-440,-1,116
-450,-1,117
-460,-1,118
-470,-1,120
-470,0,121
-480,-1,121
-470,1,123
-480,-1,124
-490,-1,124
-500,-1,126
-490,1,127
-500,-1,127
-510,-1,129
-520,-1,129
-530,-1,130
-540,-1,131
-550,-1,132
-560,-1,133
-550,1,135
-540,1,136
-550,-1,137
-560,-1,138
-570,-1,138
-580,-1,139
-590,-1,141
-600,-1,142
-590,1,143
-600,-1,143
-600,0,145
-610,-1,145
-610,0,147
-600,1,148
-610,-1,149
-620,-1,150
-630,-1,150
-640,-1,151
-650,-1,153
-640,1,154
-630,1,155
-620,1,156
-630,-1,156
-640,-1,158
-650,-1,159
-650,0,160
-660,-1,160
-670,-1,162
-680,-1,163
-690,-1,163
-700,-1,165
-710,-1,166
-720,-1,167
-710,1,168
-720,-1,169
-710,1,170
-700,1,171
-710,-1,171
-720,-1,173
-710,1,174
-720,-1,174
-730,-1,175
-740,-1,176
-730,1,178
-740,-1,178
-730,1,180
-740,-1,181
-750,-1,182
-760,-1,183
-750,1,184
-760,-1,184
-770,-1,186
-760,1,187
-770,-1,187
-760,1,189
-770,-1,190
-780,-1,190
-790,-1,191
-780,1,193
-790,-1,194
-780,1,195
-790,-1,196
-800,-1,197
-810,-1,198
-820,-1,198
-830,-1,200
-840,-1,200
-850,-1,202
-860,-1,202
-870,-1,204
-870,0,205
-880,-1,206
-890,-1,206
-900,-1,208
-910,-1,208
-920,-1,209
-930,-1,210
-920,1,212
-910,1,213
-900,1,214
-910,-1,215
-920,-1,215
-930,-1,216
-920,1,218
-930,-1,218
-940,-1,219
-930,1,221
-920,1,222
-910,1,223
-920,-1,224
-930,-1,224
-940,-1,225
-950,-1,226
-940,1,228
-950,-1,228
-960,-1,229
-950,1,231
-960,-1,232
-970,-1,232
-960,1,234
-970,-1,234
-970,0,236
-980,-1,237
-970,1,238
-980,-1,238
-990,-1,239
-1000,-1,240
-1010,-1,241
-1020,-1,242
-1030,-1,243
-1040,-1,245
-1050,-1,245
-1060,-1,247
-1070,-1,247
-1080,-1,249
-1090,-1,249
-1100,-1,250
-1110,-1,252
-1120,-1,252
-1130,-1,254
-1140,-1,254
-1150,-1,256
-1160,-1,257
-1170,-1,257
-1180,-1,258
-1170,1,260
-1160,1,261
-1170,-1,261
-1180,-1,263
-1190,-1,264
-1180,1,265
-1190,-1,265
-1180,1,267
-1190,-1,267
-1200,-1,269
-1190,1,270
-1200,-1,270
-1210,-1,271
-1220,-1,272
-1230,-1,274
-1240,-1,274
-1250,-1,275
-1260,-1,276
-1270,-1,278
-1280,-1,279
-1290,-1,279
-1300,-1,280
-1310,-1,282
-1320,-1,283
-1310,1,284
-1310,0,285
-1320,-1,286
-1310,1,287
-1320,-1,287
-1330,-1,288
-1320,1,290
-1310,1,291
-1300,1,292
-1310,-1,292
-1300,1,294
-1310,-1,294
-1320,-1,295
-1310,1,297
-1320,-1,297
-1330,-1,299
-1320,1,300
-1330,-1,300
-1320,1,302
-1330,-1,302
-1340,-1,303
-1340,0,305
-1350,-1,305
-1360,-1,306
-1370,-1,307
-1380,-1,309
-1390,-1,309
-1400,-1,311
-1410,-1,311
-1420,-1,313
-1430,-1,313
-1440,-1,314
-1450,-1,315
-1460,-1,316
-1470,-1,317
-1480,-1,318
-1490,-1,320
-1490,0,321
-1480,1,322
-1490,-1,322
-1500,-1,324
-1490,1,325
-1500,-1,325
-1490,1,327
-1480,1,328
-1470,1,329
-1470,0,330
-1460,1,331
-1470,-1,331
-1480,-1,332
-1470,1,334
-1480,-1,334
-1490,-1,335
-1500,-1,336
-1500,0,338
-1510,-1,338
-1500,1,340
-1510,-1,341
-1520,-1,342
-1530,-1,342
-1520,1,344
-1530,-1,345
-1540,-1,345
-1550,-1,346
-1560,-1,348
-1570,-1,349
-1580,-1,350
-1590,-1,350
-1590,0,352
-1600,-1,353
-1590,1,354
-1600,-1,355
-1610,-1,355
-1620,-1,356
-1630,-1,357
-1640,-1,359
-1650,-1,359
-1640,1,361
-1650,-1,362
-1660,-1,362
-1670,-1,363
-1680,-1,364
-1690,-1,366
-1680,1,367
-1670,1,368
-1680,-1,368
-1690,-1,369
-1700,-1,371
-1710,-1,372
-1710,0,373
-1720,-1,373
-1730,-1,374
-1740,-1,375
-1750,-1,376
-1760,-1,377
-1770,-1,379
-1780,-1,379
-1770,1,381
-1780,-1,381
-1790,-1,382
-1780,1,384
-1770,1,385
-1780,-1,385
-1790,-1,387
-1780,1,388
-1770,1,389
-1780,-1,389
-1790,-1,391
-1800,-1,392
-1810,-1,392
-1820,-1,394
-1830,-1,395
-1840,-1,396
-1850,-1,396
-1850,0,398
-1860,-1,398
-1870,-1,400
-1880,-1,401
-1890,-1,402
-1880,1,403
-1870,1,404
-1880,-1,405
-1890,-1,405
-1880,1,407
-1880,0,408
-1890,-1,409
-1900,-1,409
-1910,-1,411
-1920,-1,412
-1930,-1,412
-1920,1,414
-1910,1,415
-1920,-1,415
-1930,-1,416
-1940,-1,417
-1950,-1,418
-1960,-1,419
-1970,-1,421
-1980,-1,421
-1970,1,423
-1970,0,424
-1960,1,425
-1950,1,426
-1960,-1,426
-1970,-1,427
-1980,-1,428
-1990,-1,430
-2000,-1,430
-2010,-1,431
-2020,-1,432
-2030,-1,433
-2040,-1,434
-2040,0,436
-2030,1,437
-2040,-1,437
-2030,1,439
-2040,-1,440
-2050,-1,441
-2060,-1,441
-2070,-1,443
-2080,-1,444
-2090,-1,444
-2100,-1,445
-2110,-1,446
-2120,-1,448
-2110,1,449
-2120,-1,450
-2130,-1,451
-2120,1,452
-2130,-1,452
-2140,-1,454
-2140,0,455
-2150,-1,455
-2160,-1,457
-2170,-1,458
-2180,-1,459
-2190,-1,460
-2200,-1,461
-2190,1,462
-2200,-1,462
-2190,1,464
-2200,-1,465
-2210,-1,466
-2220,-1,467
-2220,0,468
-2210,1,469
-2220,-1,469
-2230,-1,471
-2240,-1,471
-2230,1,473
-2240,-1,473
-2250,-1,474
-2260,-1,475
-2270,-1,476
-2280,-1,478
-2290,-1,478
-2280,1,480
-2290,-1,480
-2300,-1,481
-2310,-1,483
-2320,-1,483
-2330,-1,485
-2330,0,486
-2340,-1,487
-2330,1,488
-2340,-1,488
-2350,-1,490
-2360,-1,491
-2350,1,492
-2340,1,493
-2330,1,494
-2340,-1,495
-2350,-1,496
-2340,1,497
-2330,1,498
-2340,-1,499
-2350,-1,499
-2360,-1,500
-2370,-1,501
-2380,-1,502
-2390,-1,504
-2400,-1,505
-2410,-1,505
-2420,-1,507
-2410,1,508
-2400,1,509
-2410,-1,509
-2420,-1,510
-2410,1,512
-2420,-1,512
-2430,-1,514
-2440,-1,514
-2450,-1,516
-2460,-1,516
-2470,-1,518
-2460,1,519
-2460,0,520
-2450,1,521
-2440,1,522
-2440,0,523
-2430,1,524
-2420,1,525
-2430,-1,525
-2440,-1,527
-2450,-1,528
-2460,-1,528
-2470,-1,530
-2480,-1,530
-2490,-1,531
-2500,-1,532
-2510,-1,534
-2520,-1,535
-2530,-1,535
-2540,-1,536
-2530,1,538
-2540,-1,539
-2530,1,540
-2540,-1,540
-2540,0,542
-2550,-1,543
-2560,-1,543
-2570,-1,545
-2580,-1,545
-2590,-1,546
-2600,-1,548
-2610,-1,548
-2620,-1,549
-2610,1,551
-2620,-1,551
-2630,-1,552
-2640,-1,553
-2650,-1,554
-2660,-1,556
-2660,0,557
-2650,1,558
-2660,-1,559
-2660,0,560
-2670,-1,561
-2680,-1,561
-2690,-1,563
-2700,-1,564
-2710,-1,564
-2720,-1,566
-2730,-1,566
-2740,-1,568
-2730,1,569
-2720,1,570
-2720,0,571
-2730,-1,572
-2740,-1,572
-2730,1,574
-2720,1,575
-2730,-1,576
-2740,-1,576
-2730,1,578
-2720,1,579
-2730,-1,580
-2740,-1,580
-2730,1,582
-2740,-1,583
-2750,-1,584
-2760,-1,584
-2750,1,586
-2760,-1,587
-2770,-1,587
-2760,1,589
-2770,-1,590
-2760,1,591
-2750,1,592
-2760,-1,592
-2750,1,594
-2760,-1,594
-2770,-1,596
-2780,-1,596
-2770,1,598
-2780,-1,598
-2790,-1,599
-2800,-1,600
-2810,-1,602
-2820,-1,602
-2830,-1,603
-2840,-1,605
-2850,-1,605
-2860,-1,606
-2850,1,608
-2860,-1,609
-2870,-1,609
-2880,-1,611
-2870,1,612
-2880,-1,612
-2890,-1,614
-2900,-1,614
-2910,-1,615
-2920,-1,616
-2920,0,618
-2910,1,619
-2920,-1,619
-2930,-1,621
-2940,-1,622
-2950,-1,623
-2960,-1,624
-2970,-1,624
-2960,1,626
-2970,-1,627
-2980,-1,627
-2990,-1,628
-2980,1,630
-2990,-1,631
-2980,1,632
-2990,-1,633
-3000,-1,634
-3010,-1,635
-3020,-1,636
-3030,-1,636
-3020,1,638
-3030,-1,638
-3020,1,640
-3010,1,641
-3000,1,642
-3000,0,643
-3010,-1,643
-3000,1,645
-3010,-1,645
-3000,1,647
-3010,-1,648
-3020,-1,649
-3030,-1,649
-3020,1,651
-3030,-1,651
-3020,1,653
-3030,-1,653
-3020,1,655
-3030,-1,656
-3040,-1,657
-3050,-1,657
-3060,-1,658
-3070,-1,659
-3080,-1,661
-3090,-1,661
-3100,-1,663
-3110,-1,664
-3120,-1,665
-3130,-1,665
-3140,-1,667
-3150,-1,667
-3160,-1,668
-3170,-1,669
-3180,-1,671
-3190,-1,671
-3180,1,673
-3190,-1,674
-3200,-1,674
-3210,-1,675
-3220,-1,677
-3230,-1,677
-3240,-1,678
-3230,1,680
-3240,-1,680
-3230,1,682
-3240,-1,682
-3250,-1,684
-3260,-1,684
-3270,-1,685
-3260,1,687
-3250,1,688
-3260,-1,688
-3270,-1,689
-3280,-1,690
-3290,-1,692
-3300,-1,693
-3310,-1,694
-3300,1,695
-3310,-1,695
-3300,1,697
-3290,1,698
-3300,-1,698
-3310,-1,699
-3320,-1,701
-3310,1,702
-3320,-1,703
-3330,-1,703
-3320,1,705
-3310,1,706
-3300,1,707
-3310,-1,707
-3320,-1,709
-3310,1,710
-3320,-1,710
-3330,-1,712
-3340,-1,712
-3330,1,714
-3340,-1,715
-3350,-1,715
-3340,1,717
-3330,1,718
-3340,-1,718
-3350,-1,719
-3350,0,721
-3340,1,722
-3330,1,723
-3340,-1,723
-3330,1,725
-3320,1,726
-3310,1,727
-3300,1,728
-3310,-1,729
-3320,-1,729
-3310,1,731
-3320,-1,732
-3320,0,733
-3330,-1,734
-3340,-1,734
-3350,-1,736
-3350,0,737
-3360,-1,738
-3350,1,739
-3360,-1,740
-3370,-1,741
-3380,-1,742
-3390,-1,742
-3400,-1,744
-3390,1,745
-3400,-1,746
-3410,-1,747
-3420,-1,748
-3410,1,749
-3410,0,750
-3420,-1,750
-3430,-1,751
-3420,1,753
-3430,-1,753
-3440,-1,754
-3450,-1,755
-3460,-1,756
-3470,-1,757
-3460,1,759
-3470,-1,760
-3480,-1,760
-3490,-1,761
-3500,-1,762
-3510,-1,763
-3500,1,765
-3500,0,766
-3510,-1,767
-3520,-1,768
-3510,1,769
-3520,-1,769
-3510,1,771
-3500,1,772
-3490,1,773
-3500,-1,773
-3510,-1,774
-3520,-1,775
-3510,1,777
-3500,1,778
-3510,-1,779
-3520,-1,779
-3530,-1,780
-3540,-1,781
-3550,-1,782
-3560,-1,783
-3550,1,785
-3550,0,786
-3560,-1,787
-3570,-1,788
-3580,-1,789
-3590,-1,789
-3580,1,791
-3590,-1,791
-3580,1,793
-3590,-1,793
-3600,-1,794
-3590,1,796
-3600,-1,797
-3590,1,798
-3600,-1,798
-3610,-1,799
-3620,-1,801
-3610,1,802
-3600,1,803
-3610,-1,804
-3620,-1,805
-3630,-1,805
-3640,-1,806
-3650,-1,808
-3660,-1,809
-3670,-1,809
-3660,1,811
-3670,-1,812
-3660,1,813
-3650,1,814
-3660,-1,815
-3650,1,816
-3640,1,817
-3630,1,818
-3620,1,819
-3630,-1,820
-3640,-1,820
-3650,-1,822
-3640,1,823
-3630,1,824
-3640,-1,824
-3630,1,826
-3640,-1,827
-3650,-1,827
-3640,1,829
-3630,1,830
-3620,1,831
-3630,-1,831
-3640,-1,833
-3630,1,834
-3640,-1,834
-3650,-1,836
-3640,1,837
-3630,1,838
-3620,1,839
-3630,-1,839
-3640,-1,840
-3650,-1,841
-3660,-1,843
-3670,-1,843
-3680,-1,844
-3670,1,846
-3660,1,847
-3670,-1,848
-3660,1,849
-3670,-1,850
-3680,-1,850
-3690,-1,852
-3700,-1,852
-3710,-1,854
-3700,1,855
-3710,-1,856
-3720,-1,856
-3730,-1,857
-3740,-1,859
-3730,1,860
-3740,-1,860
-3750,-1,862
-3740,1,863
-3730,1,864
-3720,1,865
-3730,-1,866
-3740,-1,866
-3750,-1,867
-3740,1,869
-3730,1,870
-3740,-1,871
-3750,-1,872
-3750,0,873
-3760,-1,874
-3770,-1,874
-3780,-1,876
-3790,-1,877
-3800,-1,878
-3810,-1,878
-3810,0,880
-3820,-1,880
-3830,-1,882
-3840,-1,883
-3850,-1,884
-3840,1,885
-3830,1,886
-3840,-1,886
-3840,0,888
-3850,-1,888
-3860,-1,889
-3850,1,891
-3840,1,892
-3840,0,893
-3850,-1,893
-3860,-1,895
-3850,1,896
