Won Hand,Trials,Reward
5,10,17
10,20,29
13,30,19
16,40,25
18,50,14
23,60,43
24,70,14
27,80,0
27,90,-36
28,100,-53
31,110,-65
36,120,-35
41,130,-25
43,140,-44
46,150,-51
50,160,-53
54,170,-45
63,180,7
69,190,31
72,200,24
75,210,28
79,220,28
82,230,19
84,240,3
88,250,1
90,260,-25
94,270,-25
97,280,-37
102,290,-25
107,300,-6
112,310,9
118,320,28
122,330,34
126,340,46
132,350,67
137,360,88
142,370,100
147,380,120
151,390,122
158,400,153
163,410,160
168,420,178
171,430,173
175,440,173
178,450,169
181,460,161
185,470,182
186,480,158
191,490,170
193,500,143
199,510,164
204,520,178
210,530,203
213,540,198
216,550,200
220,560,197
223,570,186
227,580,193
230,590,180
234,600,177
238,610,172
242,620,171
246,630,175
248,640,147
252,650,158
256,660,185
259,670,178
261,680,164
265,690,177
269,700,184
271,710,166
277,720,192
280,730,184
284,740,185
290,750,210
295,760,221
296,770,192
301,780,209
305,790,209
308,800,202
309,810,171
313,820,172
318,830,188
323,840,202
327,850,206
333,860,224
335,870,201
338,880,199
342,890,209
351,900,260
354,910,247
359,920,257
363,930,253
365,940,235
371,950,261
377,960,283
381,970,280
385,980,276
390,990,283
391,1000,254
394,1010,241
398,1020,242
402,1030,246
405,1040,239
407,1050,221
410,1060,213
413,1070,199
419,1080,222
423,1090,228
427,1100,240
429,1110,216
435,1120,236
439,1130,237
442,1140,252
447,1150,261
452,1160,270
454,1170,262
460,1180,285
462,1190,267
468,1200,286
470,1210,259
476,1220,287
479,1230,284
481,1240,271
488,1250,302
493,1260,317
497,1270,317
501,1280,325
505,1290,325
509,1300,336
514,1310,348
518,1320,359
522,1330,365
527,1340,380
529,1350,375
532,1360,371
538,1370,388
540,1380,365
545,1390,378
549,1400,382
551,1410,364
554,1420,360
559,1430,378
561,1440,355
566,1450,368
571,1460,376
572,1470,349
576,1480,357
581,1490,365
584,1500,348
588,1510,351
592,1520,359
595,1530,365
599,1540,362
600,1550,340
604,1560,348
609,1570,364
612,1580,361
616,1590,359
619,1600,354
623,1610,354
627,1620,364
630,1630,356
637,1640,389
642,1650,410
647,1660,428
649,1670,412
652,1680,402
655,1690,397
659,1700,407
666,1710,450
671,1720,457
676,1730,470
678,1740,460
681,1750,444
685,1760,449
690,1770,468
696,1780,489
701,1790,506
705,1800,507
710,1810,516
717,1820,549
724,1830,589
729,1840,597
735,1850,615
739,1860,621
745,1870,653
749,1880,657
754,1890,672
758,1900,678
761,1910,670
765,1920,678
770,1930,695
775,1940,711
780,1950,737
785,1960,753
788,1970,744
790,1980,723
793,1990,713
797,2000,714
803,2010,734
808,2020,751
811,2030,745
818,2040,782
823,2050,791
825,2060,781
832,2070,815
839,2080,856
843,2090,866
846,2100,864
850,2110,863
853,2120,873
855,2130,857
858,2140,851
861,2150,844
866,2160,862
872,2170,887
876,2180,897
882,2190,918
885,2200,909
889,2210,919
893,2220,932
896,2230,927
899,2240,934
904,2250,945
907,2260,937
913,2270,962
917,2280,972
922,2290,980
925,2300,968
927,2310,959
932,2320,980
935,2330,982
937,2340,967
941,2350,976
946,2360,985
952,2370,1024
956,2380,1036
959,2390,1029
965,2400,1061
968,2410,1047
972,2420,1054
975,2430,1050
978,2440,1038
981,2450,1027
984,2460,1022
990,2470,1056
993,2480,1049
993,2490,1012
996,2500,1000
1002,2510,1026
1008,2520,1046
1008,2530,1017
1014,2540,1054
1016,2550,1034
1019,2560,1028
1024,2570,1036
1030,2580,1058
1034,2590,1061
1039,2600,1068
1041,2610,1053
1048,2620,1097
1050,2630,1071
1055,2640,1080
1056,2650,1049
1057,2660,1016
1061,2670,1016
1064,2680,1006
1067,2690,1001
1072,2700,1014
1074,2710,1001
1078,2720,1017
1081,2730,1015
1083,2740,993
1085,2750,984
1093,2760,1024
1097,2770,1023
1100,2780,1012
1105,2790,1025
1108,2800,1013
1113,2810,1038
1117,2820,1052
1121,2830,1059
1124,2840,1050
1128,2850,1046
1132,2860,1045
1135,2870,1036
1141,2880,1063
1145,2890,1062
1146,2900,1036
1153,2910,1068
1158,2920,1079
1165,2930,1111
1171,2940,1138
1173,2950,1122
1175,2960,1115
1178,2970,1101
1183,2980,1113
1186,2990,1117
1189,3000,1113
1193,3010,1121
1197,3020,1121
1199,3030,1107
1204,3040,1137
1207,3050,1125
1210,3060,1112
1213,3070,1099
1217,3080,1101
1221,3090,1110
1224,3100,1104
1228,3110,1104
1232,3120,1109
1237,3130,1129
1241,3140,1132
1245,3150,1138
