Won Hand,Trials,Reward
4,10,-8
9,20,-7
11,30,-35
15,40,-38
18,50,-50
21,60,-68
24,70,-86
26,80,-105
27,90,-137
29,100,-154
31,110,-174
36,120,-168
41,130,-159
43,140,-183
49,150,-162
52,160,-176
57,170,-169
60,180,-182
62,190,-204
63,200,-237
65,210,-261
67,220,-276
70,230,-291
73,240,-296
76,250,-308
76,260,-349
79,270,-357
82,280,-365
84,290,-384
86,300,-405
87,310,-443
89,320,-471
91,330,-498
92,340,-523
94,350,-551
96,360,-569
100,370,-575
104,380,-580
107,390,-582
109,400,-609
112,410,-618
113,420,-647
114,430,-686
117,440,-700
118,450,-736
120,460,-763
124,470,-769
127,480,-786
132,490,-777
135,500,-795
136,510,-832
137,520,-867
141,530,-875
146,540,-871
149,550,-885
151,560,-908
154,570,-915
154,580,-956
157,590,-970
158,600,-1005
160,610,-1032
161,620,-1070
165,630,-1069
172,640,-1043
176,650,-1038
179,660,-1041
181,670,-1068
184,680,-1079
185,690,-1112
186,700,-1149
189,710,-1167
191,720,-1193
194,730,-1212
196,740,-1234
199,750,-1247
199,760,-1296
203,770,-1288
206,780,-1300
208,790,-1325
210,800,-1349
211,810,-1382
212,820,-1418
214,830,-1444
216,840,-1471
216,850,-1511
218,860,-1536
221,870,-1555
224,880,-1570
229,890,-1567
234,900,-1564
237,910,-1580
239,920,-1605
243,930,-1612
244,940,-1649
249,950,-1639
251,960,-1651
255,970,-1649
258,980,-1659
263,990,-1649
266,1000,-1658
270,1010,-1653
276,1020,-1638
278,1030,-1658
282,1040,-1655
283,1050,-1680
288,1060,-1676
291,1070,-1692
294,1080,-1699
297,1090,-1711
303,1100,-1690
309,1110,-1664
309,1120,-1709
312,1130,-1719
317,1140,-1711
317,1150,-1754
322,1160,-1751
325,1170,-1769
329,1180,-1777
332,1190,-1790
334,1200,-1811
335,1210,-1832
336,1220,-1870
339,1230,-1876
342,1240,-1883
344,1250,-1902
345,1260,-1932
350,1270,-1926
353,1280,-1940
355,1290,-1967
357,1300,-1994
360,1310,-2002
362,1320,-2025
363,1330,-2062
364,1340,-2091
365,1350,-2121
367,1360,-2147
371,1370,-2153
372,1380,-2187
372,1390,-2229
377,1400,-2227
379,1410,-2253
382,1420,-2265
384,1430,-2288
387,1440,-2303
388,1450,-2341
392,1460,-2345
395,1470,-2360
398,1480,-2361
400,1490,-2386
403,1500,-2397
403,1510,-2439
405,1520,-2453
408,1530,-2452
413,1540,-2446
418,1550,-2440
423,1560,-2433
428,1570,-2424
431,1580,-2433
433,1590,-2442
436,1600,-2456
439,1610,-2468
441,1620,-2490
445,1630,-2491
447,1640,-2511
451,1650,-2510
453,1660,-2536
458,1670,-2529
461,1680,-2534
466,1690,-2516
468,1700,-2533
471,1710,-2548
473,1720,-2560
477,1730,-2561
481,1740,-2554
484,1750,-2562
487,1760,-2570
491,1770,-2567
495,1780,-2572
498,1790,-2580
502,1800,-2576
505,1810,-2582
509,1820,-2586
510,1830,-2619
514,1840,-2604
516,1850,-2617
520,1860,-2615
526,1870,-2597
529,1880,-2610
531,1890,-2632
532,1900,-2664
536,1910,-2663
540,1920,-2661
541,1930,-2677
545,1940,-2666
549,1950,-2668
551,1960,-2691
554,1970,-2704
557,1980,-2722
559,1990,-2734
562,2000,-2751
567,2010,-2746
568,2020,-2777
573,2030,-2772
577,2040,-2772
579,2050,-2781
581,2060,-2786
583,2070,-2805
587,2080,-2806
590,2090,-2816
594,2100,-2823
596,2110,-2840
602,2120,-2822
608,2130,-2808
610,2140,-2834
613,2150,-2849
614,2160,-2887
617,2170,-2895
619,2180,-2917
624,2190,-2913
627,2200,-2925
630,2210,-2936
634,2220,-2934
639,2230,-2925
645,2240,-2911
649,2250,-2910
651,2260,-2929
655,2270,-2934
660,2280,-2920
662,2290,-2941
663,2300,-2969
665,2310,-2989
670,2320,-2973
676,2330,-2954
678,2340,-2976
680,2350,-2989
681,2360,-3020
686,2370,-3014
689,2380,-3025
692,2390,-3040
697,2400,-3024
700,2410,-3031
704,2420,-3038
706,2430,-3061
709,2440,-3076
712,2450,-3081
714,2460,-3101
715,2470,-3138
717,2480,-3152
724,2490,-3121
731,2500,-3091
732,2510,-3121
735,2520,-3119
739,2530,-3122
743,2540,-3119
750,2550,-3090
753,2560,-3089
760,2570,-3062
762,2580,-3081
765,2590,-3093
766,2600,-3119
769,2610,-3131
771,2620,-3157
774,2630,-3166
775,2640,-3197
778,2650,-3205
783,2660,-3190
784,2670,-3228
784,2680,-3272
786,2690,-3290
788,2700,-3318
793,2710,-3311
799,2720,-3280
805,2730,-3255
811,2740,-3239
815,2750,-3237
820,2760,-3224
822,2770,-3244
825,2780,-3253
828,2790,-3272
834,2800,-3253
837,2810,-3247
844,2820,-3213
848,2830,-3213
855,2840,-3177
858,2850,-3190
863,2860,-3181
868,2870,-3168
871,2880,-3174
876,2890,-3160
879,2900,-3171
884,2910,-3165
887,2920,-3171
892,2930,-3155
894,2940,-3179
899,2950,-3174
903,2960,-3171
906,2970,-3175
910,2980,-3169
914,2990,-3170
917,3000,-3166
922,3010,-3159
925,3020,-3167
930,3030,-3153
934,3040,-3154
936,3050,-3180
943,3060,-3153
948,3070,-3150
950,3080,-3165
952,3090,-3178
959,3100,-3152
963,3110,-3153
966,3120,-3156
